n_components,BIC,AIC
2,26105524.34388896,26099513.25067267
3,23942446.86228772,23933424.76775074
4,22889704.73728836,22877671.641430695
5,21427452.498797268,21412408.40161892
6,21153117.91017766,21135062.811678626
7,20747731.72947336,20726665.629653644
8,20163918.030601293,20139840.92946089
9,19453546.29616409,19426458.193703007
10,19442944.284872085,19412845.181090314
11,18976844.85233709,18943734.747234635
12,18673704.155791577,18637583.049368437
13,18555856.813574042,18516724.705830216
14,18210337.19487974,18168194.085815232
15,18064826.179551035,18019672.06916584
