,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
true_edit_days_scaled,0.2535358894703756,0.15674788688318422,0.00520372167817874,-0.12056702881527576,-0.08083610226903717,-0.0719384361651201,0.025214248880511905,0.039015342408552034,-0.15527683795726907,-0.10102808051048813,-0.04063977017301626,0.010429872777991645,-0.08917873735145049,0.03773703373341298,-0.01580731402961806,-0.07999541602763809,0.10229612584001817,0.006446234442089821,0.054911210019364214,0.07525480171288763,0.03524078865984654,0.0194040755361555
active_duration_scaled,0.06183356291742281,0.10353720944700107,-0.07248744004069184,-0.05902675498071337,-0.13335064240989383,-0.009882080333248673,0.3749968625060167,-0.051889854172984515,-0.2977432949692016,-0.25932555607785346,-0.014412066396886964,-0.006404930595463219,-0.128847682124966,-0.13173806785891853,0.17496983264949875,-0.029533693117256694,-0.15378143648293194,-0.03129425024217751,0.12874133074802774,0.0911618332049605,0.24742173182223562,0.14884929451640047
activity_ratio_true_scaled,0.20903069391346163,0.06261220820909907,0.0394617270661751,-0.1261826864053098,-0.0628834758078427,-0.11728187476627336,-0.1545415389953426,0.23965883812250702,0.016972273238188017,0.334575016257235,0.09776856625922016,0.10638775881380821,-0.13101960005564875,0.03383599094647143,-0.007814312697993105,0.00504739910283608,0.006841235784458014,-0.013651450865804979,0.021960550605902632,0.0003010851418170309,0.11865285185685563,0.03574879617691261
edits_per_day_true_scaled,0.23175489556746515,-0.12916210428549482,-0.04057490805013012,0.19643084395345925,0.14738098820860074,0.0847294075163956,0.1332054001580682,0.039436992806844616,0.04369974306956071,0.08751667960386882,-0.12087250609854405,0.016916966785797946,0.055803283801228266,-0.07545345510254739,0.05520584236260023,0.028966845293501287,-0.20721371611866127,0.014141911360006377,-0.040195815066814786,-0.045133218054164086,-0.09258961727749655,-0.05168645245616616
mean_days_between_edits_true_scaled,-0.23554393501923968,-0.1153649291362045,-0.05220074952579648,0.08587605228720714,-0.0018503200258146119,0.04934690406894413,0.21620720409644867,-0.0454357878421866,-0.026257616879661008,-0.01255513921821216,0.04529337087256771,-0.004586864239098989,-0.002525695121887227,-0.13557792173028818,0.13415635621817476,0.06876757637947088,-0.25469436817043123,-0.026787878409716293,0.014326761222757124,-0.03810528880477052,0.11869980817301726,0.07200393145319434
pause_after_first_editing_day_scaled,-0.14260373516235791,-0.11073879983315116,0.006924375248297427,-0.023534735779632495,-0.024725109429517104,-0.048834640475897036,0.24707655549198163,0.21837461600218705,-0.17430031015432768,0.1912987735317218,0.01615368643985318,0.035462272928760905,-0.12985471189267228,-0.20405481286694094,0.05215713844246246,0.0074963584290300865,-0.3185616047881506,0.004547373692231272,-0.08413648597840097,-0.06778521860450164,-0.1510255878795309,-0.007754687878509633
top_country_ratio_scaled,-0.06743591351039468,0.15332799787393261,-0.3304140505017322,0.16276711162327256,0.14372753373744118,-0.019128939601781633,-0.16604038417445136,0.13710399715959168,-0.15504777784354598,0.0036217771957787388,-0.03421022456389446,0.060339860406843276,-0.047143410689019026,-0.08739024502456733,0.024794169731005313,-0.026058300403734507,0.03175339598030511,0.03190719954483445,0.013355479323946866,0.10852648806541125,0.04184985891262383,0.021401894601027018
entropy_country_distribution_scaled,0.08599575389595607,-0.13903450954135513,0.3330199676625066,-0.17870102489852632,-0.15433214679931836,0.011997587923954356,0.18135888957090143,-0.13219295535715972,0.13300944319079214,-0.011909744079597554,0.027008359151815067,-0.058802821613679675,0.04016644712307908,0.07662264556854831,-0.02772395930786722,0.02176977799291477,-0.019070505865298615,-0.023551150336990356,-0.012936538208173629,-0.09273484916095108,-0.024729915021669015,-0.018828203619100946
diversity_score_scaled,0.11208342928494867,-0.15000075787445047,0.3094564416274596,-0.16627415153843567,-0.13389219128150653,0.013190234681473574,0.18628831891621403,-0.1142004757993208,0.1494276418629502,0.0076431022750734125,0.027144002537610495,-0.05831200098276776,0.04767389303288983,0.07209374111258772,-0.005404014003220761,0.022965557857898767,-0.03775095555369317,-0.03145033300354758,-0.010974073404818737,-0.09434985925879875,-0.02956339855890117,-0.01777550131535548
number_of_countries_scaled,0.1836021388280655,-0.03744838561441021,0.2312180098053782,-0.1730970236675268,-0.16014546122951592,-0.03936511011174577,0.19019315905466228,-0.026202602504526187,0.02736885798637441,0.01600877196597002,0.00915094063324183,-0.01920083446980648,-0.010690348459142046,0.04260853823764946,-0.01243129935089357,0.007983338360540576,-0.0034792809084533394,-0.009724926956982892,0.010147497776449977,-0.05290748531071335,0.040492370904964894,-0.010294960228479592
max_country_edits_scaled,0.29369707959919816,0.04351333654769944,-0.06716475155693485,0.05786907080213016,0.05732941466597498,0.0032680360567316396,0.07607246351408202,0.058377112090182814,-0.09266089234261221,-0.022245406886532038,-0.10479999291786207,0.02149308145855805,-0.02781535638300043,-0.029086990360832232,0.024798943714705722,-0.03871357522701389,-0.04867826670453354,0.01766087482569851,0.01165156995680111,0.035979132205285105,-0.028171513738287468,-0.017169532045517365
created_ratio_scaled,0.01760074863245652,-0.13590113621176458,0.3024627695320067,0.2612314942999411,-0.014249455223010726,-0.0061032728246648285,-0.13901735945738797,-0.08572825446327687,-0.2186992688656637,-0.025827998979243177,0.012063853702927582,0.17255383942186775,-0.04299072991184985,-0.00037743755588257006,0.008573180804857075,-0.08048104506380581,-0.017182091786587438,0.03175285463387126,-0.0005807926472368147,0.03678753556272747,-0.06572448830252649,-0.08239534118078723
deleted_ratio_scaled,-0.0019806532050364025,0.008346329511836552,-0.10599534450566538,0.12989691338969464,-0.17078076792970429,-0.12766897068623595,0.14864667510703056,0.2790245594535918,0.43446087845614056,-0.22219253339918507,0.03482276117292616,0.15853803821968748,0.00033978933335463335,-0.09972794414821569,-0.11661567893823045,-0.20941313320300486,0.04776787055330076,0.0011794538417837178,-0.016475200030904788,0.00016278398485813366,-0.07398647933435747,0.0012251381434134347
tag_ratio_scaled,0.00669559850159196,0.04269773894874112,-0.07065294080591088,0.055875211346751275,-0.12009994278179549,0.2139268772613932,0.09659146325015344,-0.06596514765121406,0.11972282099755177,0.12985528921233133,-0.21263423976214715,-0.05624951236210453,-0.39177222015635166,-0.25824741948183255,0.15172624869202875,0.4798036855400131,0.3489818256709394,-0.2934432970851705,0.20009008202578019,-0.03999967271625394,-0.012318721771601746,-0.041268780779091005
geometry_ratio_scaled,0.006591494693987335,0.048811506216594545,-0.16268383960575428,0.04118793274492507,-0.16082194095946464,-0.02209498528764066,0.08966065960888533,0.043774051899039754,0.049086758354320345,0.04748465877093518,0.22563252765931857,-0.16900258027435328,0.040182633840891276,0.44704947174368737,0.5079160938243704,0.3287582966951023,-0.06377945076696438,0.22011758839561665,-0.14431992080466946,0.23733939424036377,0.01644303510824468,-0.06086264594413881
